Time,PV [kWh],WT [kWh],Load [kWh],Battery [kWh],Diesel [kWh],Electric Grid[$]
15:55,0.15883,0.2818181818,0.0365316667,0,0,0.2
16:00,0.15762,0.2794258373,0.0328666667,0,0,0.2
16:05,0.15783,0.2794258373,0.0318666667,0,0,0.3
16:10,0.15813,0.2258373206,0.0314725,0,0,0.3
16:15,0.15774,0.2258373206,0.03171,0,0,0.3
16:20,0.15683,0.1976076555,0.0310108333,0,0,0.3
16:25,0.1569,0.1976076555,0.0340883333,0,0,0.3
16:30,0.1574,0.1172248804,0.0430425,0,0,0.3
16:35,0.15736,0.1172248804,0.0404458333,0,0,0.3
16:40,0.15704,0.1392344498,0.0382125,0,0,0.3
16:45,0.15702,0.1392344498,0.0112616667,0,0,0.3
16:50,0.15698,0.0578947368,0.0092,0,0,0.3
16:55,0.15655,0.0578947368,0.0092041667,0,0,0.3
17:00,0.15615,0.1129186603,0.0091808333,0,0,0.3
17:05,0.15494,0.1129186603,0.009795,0,0,0.3
17:10,0.1539,0.0688995215,0.0268716667,0,0,0.3
17:15,0.15306,0.0688995215,0.0777233333,0,0,0.3
17:20,0.15357,0.033492823,0.2090091667,0,0,0.3
17:25,0.15302,0.033492823,0.1697325,0,0,0.3
17:30,0.15202,0,0.0941958333,0,0,0.3
17:35,0.15098,0,0.08049,0,0,0.3
17:40,0.15081,0,0.0730491667,0,0,0.3
17:45,0.14894,0,0.068725,0,0,0.3
17:50,0.1484,0.0138755981,0.0593066667,0,0,0.3
17:55,0.14813,0.0138755981,0.0346333333,0,0,0.3
18:00,0.14688,0.0110047847,0.025665,0,0,0.3
18:05,0.14583,0.0110047847,0.0387683333,0,0,0.5
18:10,0.14473,0,0.031315,0,0,0.5
18:15,0.14372,0,0.02706,0,0,0.5
18:20,0.14232,0.0244019139,0.0203891667,0,0,0.5
18:25,0.14156,0.0244019139,0.0167383333,0,0,0.5
18:30,0.14098,0.0842105263,0.0166025,0,0,0.5
18:35,0.13971,0.0842105263,0.0173641667,0,0,0.5
18:40,0.13794,0.0966507177,0.0164816667,0,0,0.5
18:45,0.13591,0.0966507177,0.0068433333,0,0,0.5
18:50,0.13371,0.0454545455,0.0088533333,0,0,0.5
18:55,0.13206,0.0454545455,0.0156283333,0,0,0.5
19:00,0.13046,0.0842105263,0.0154025,0,0,0.5
19:05,0.12823,0.0842105263,0.0140016667,0,0,0.5
19:10,0.12579,0.0526315789,0.0049883333,0,0,0.5
19:15,0.12332,0.0526315789,0.0046608333,0,0,0.5
19:20,0.12073,0.0157894737,0.00451,0,0,0.5
19:25,0.11809,0.0157894737,0.0045183333,0,0,0.5
19:30,0.11582,0.014354067,0.0045366667,0,0,0.5
19:35,0.11227,0.014354067,0.0045366667,0,0,0.5
19:40,0.10817,0.0205741627,0.0126725,0,0,0.5
19:45,0.10419,0.0205741627,0.0155641667,0,0,0.5
19:50,0.09934,0.0555023923,0.0147333333,0,0,0.5
19:55,0.09471,0.0555023923,0.079185,0,0,0.5
20:00,0.08902,0.1889952153,0.1715533333,0,0,0.5
20:05,0.08319,0.1889952153,0.1595191667,0,0,0.5
20:10,0.07652,0.3,0.1420533333,0,0,0.5
20:15,0.07011,0.3,0.1256958333,0,0,0.5
20:20,0.06333,0.2688995215,0.1167466667,0,0,0.5
20:25,0.05536,0.2688995215,0.0823916667,0,0,0.5
20:30,0.04604,0.2736842105,0.0367675,0,0,0.5
20:35,0.0371,0.2736842105,0.0266841667,0,0,0.5
20:40,0.0284,0.2837320574,0.0254825,0,0,0.5
20:45,0.02128,0.2837320574,0.0248675,0,0,0.5
20:50,0.00992,0.2961722488,0.0245766667,0,0,0.5
20:55,0,0.2961722488,0.02684,0,0,0.5
21:00,0,0.1842105263,0.035585,0,0,0.5
21:05,0,0.1842105263,0.034955,0,0,0.5
21:10,0,0.1612440191,0.0336466667,0,0,0.5
21:15,0,0.1612440191,0.0352475,0,0,0.5
21:20,0,0.1488038278,0.02471,0,0,0.5
21:25,0,0.1488038278,0.0227808333,0,0,0.5
21:30,0,0.1043062201,0.0228458333,0,0,0.5
21:35,0,0.1043062201,0.0228483333,0,0,0.5
21:40,0,0.1861244019,0.0263991667,0,0,0.5
21:45,0,0.1861244019,0.0341266667,0,0,0.5
21:50,0,0.1966507177,0.0335258333,0,0,0.5
21:55,0,0.1966507177,0.03209,0,0,0.5
22:00,0,1,0.0236725,0,0,0.5
22:05,0,1,0.0223616667,0,0,0.5
22:10,0,0.2894736842,0.0216175,0,0,0.5
22:15,0,0.2894736842,0.0215766667,0,0,0.5
22:20,0,0.3765550239,0.0216575,0,0,0.5
